"Winner","B_current_win_streak","R_Reach_cms","R_losses","B_current_lose_streak","R_Stance_Southpaw","B_Stance_Southpaw","R_Stance_Switch","R_win_by_Submission","B_win_by_Decision_Split","B_Stance_Switch","R_Stance_Open_Stance"
"Red",0,195.58,0,2,0,0,0,0,0,0,0
"Red",1,182.88,3,0,0,0,0,2,1,0,0
"Red",0,198.12,8,6,0,1,0,5,0,0,0
"Red",0,185.42,1,0,0,0,0,0,0,0,0
"Blue",1,182.88,8,0,0,0,0,0,0,0,0
"Red",0,198.12,4,1,0,0,0,1,0,0,0
"Blue",1,195.58,10,0,0,0,0,2,1,0,0
"Red",0,177.8,0,1,0,0,0,0,0,0,0
"Red",2,193.04,0,0,0,0,0,0,1,0,0
"Red",0,170.18,0,0,0,0,1,0,0,0,0
"Red",0,185.42,2,1,0,0,0,0,1,0,0
"Red",1,185.42,1,0,0,1,0,0,1,0,0
"Red",0,190.5,1,1,0,0,0,0,0,0,0
"Blue",3,187.96,0,0,0,0,0,0,1,0,0
"Red",0,193.04,0,0,1,1,0,0,0,0,0
"Red",0,172.72,2,3,0,0,0,0,0,0,0
"Red",4,187.96,3,0,0,1,0,0,0,0,0
"Red",2,157.48,4,0,0,0,0,2,2,0,0
"Red",0,185.42,0,1,0,0,0,2,0,0,0
"Red",1,172.72,1,0,0,0,0,0,1,0,0
"Red",2,185.42,1,0,0,0,0,0,0,0,0
"Red",3,180.34,3,0,0,0,0,2,2,0,0
"Red",0,190.5,0,1,1,0,0,1,1,0,0
"Blue",1,185.42,0,0,0,0,0,1,0,0,0
"Red",0,182.88,11,1,1,0,0,0,0,0,0
"Red",0,180.34,12,1,1,1,0,6,0,0,0
"Red",2,172.72,2,0,0,0,0,0,0,0,0
"Blue",0,167.64,1,2,0,0,0,1,1,1,0
"Red",4,177.8,2,0,0,0,0,0,0,0,0
"Red",2,185.42,9,0,1,0,0,0,1,0,0
"Red",1,170.18,5,0,0,0,0,1,0,0,0
"Blue",0,180.34,10,1,0,1,0,1,0,0,0
"Blue",2,167.64,5,0,0,0,0,3,1,0,0
"Red",0,190.5,1,1,1,0,0,0,0,0,0
"Red",2,185.42,3,0,0,0,0,2,0,0,0
"Red",1,177.8,0,0,0,1,1,0,1,0,0
"Red",1,187.96,2,0,0,0,0,0,0,0,0
"Red",0,187.96,1,2,0,0,1,3,0,0,0
"Red",0,165.1,3,2,0,0,0,0,0,1,0
"Red",1,177.8,5,0,1,0,0,1,0,0,0
"Red",1,170.18,4,0,0,1,0,5,0,0,0
"Red",0,170.18,3,1,0,0,0,1,0,0,0
"Blue",2,167.64,2,0,0,0,0,5,1,0,0
"Blue",1,177.8,5,0,0,0,0,0,2,0,0
"Blue",2,170.18,0,0,0,1,0,1,0,0,0
"Red",0,193.04,5,0,0,0,0,0,0,0,0
"Red",0,165.1,4,1,0,0,0,3,0,0,0
"Red",0,175.26,0,0,0,1,0,0,0,0,0
"Red",3,182.88,0,0,0,0,0,0,1,0,0
"Blue",0,172.72,0,1,0,0,0,0,0,0,0
"Red",1,165.1,0,0,0,0,0,1,0,0,0
"Blue",0,152.4,2,0,0,0,0,0,0,1,0
"Red",0,177.8,4,1,0,0,1,2,0,0,0
"Blue",2,175.26,3,0,0,1,0,0,0,0,0
"Red",3,177.8,3,0,0,0,0,0,1,0,0
"Red",0,165.1,2,1,0,0,0,0,0,0,0
"Red",4,182.88,0,0,0,1,0,0,1,0,0
"Red",1,185.42,4,0,0,0,0,0,1,0,0
"Red",0,185.42,1,1,0,0,0,0,0,0,0
"Blue",3,190.5,1,0,0,0,0,0,0,0,0
"Blue",1,177.8,0,0,0,1,0,2,0,0,0
"Red",1,172.72,6,0,0,0,0,0,2,0,0
"Blue",2,172.72,2,0,0,0,0,1,1,0,0
"Blue",2,160.02,4,0,0,0,0,0,0,0,0
"Blue",1,193.04,8,0,0,0,0,0,0,0,0
"Blue",1,193.04,4,0,0,0,0,3,0,0,0
"Blue",0,195.58,3,0,0,0,0,0,0,0,0
"Red",0,198.12,3,2,0,0,0,0,0,0,0
"Red",0,187.96,2,0,1,0,0,1,0,0,0
"Red",0,182.88,1,1,1,0,0,0,0,0,0
"Blue",0,167.64,2,1,1,0,0,0,0,0,0
"Blue",2,187.96,1,0,0,0,1,0,0,0,0
"Blue",0,175.26,0,0,0,0,0,0,0,0,0
"Blue",1,203.2,0,0,0,0,0,1,0,0,0
"Blue",0,182.88,2,0,0,0,1,0,0,0,0
"Blue",0,177.8,3,0,0,0,0,2,0,0,0
"Red",0,195.58,4,0,0,1,0,0,0,0,0
"Red",1,180.34,2,0,0,0,0,1,2,0,0
"Blue",0,167.64,6,1,0,1,0,2,1,0,0
"Blue",1,198.12,2,0,0,0,0,1,0,0,0
"Blue",0,185.42,2,2,0,0,0,1,0,0,0
"Red",2,172.72,3,0,1,0,0,0,0,0,0
"Blue",3,175.26,6,0,0,0,0,0,1,0,0
"Blue",4,180.34,4,0,0,0,0,1,0,0,0
"Blue",0,167.64,4,0,1,0,0,0,0,0,0
"Blue",0,177.8,1,0,0,0,0,0,0,0,0
"Red",0,167.64,4,0,0,0,0,0,0,0,0
"Red",0,165.1,1,0,0,1,0,0,0,0,0
"Red",0,160.02,2,1,0,0,0,0,0,0,0
"Blue",1,203.2,2,0,0,0,0,0,1,0,0
"Blue",1,210.82,1,0,0,0,0,1,1,0,0
"Blue",0,177.8,3,2,0,0,0,1,0,0,0
"Blue",0,190.5,3,1,1,0,0,5,1,0,0
"Blue",0,185.42,0,1,0,1,0,0,0,0,0
"Red",1,167.64,2,0,0,0,0,1,0,0,0
"Blue",0,180.34,3,1,0,0,0,0,0,0,0
"Red",1,193.04,0,0,0,0,0,0,0,0,0
"Red",2,190.5,3,0,0,0,1,2,0,0,0
"Blue",2,187.96,4,0,0,0,0,0,1,1,0
"Red",0,180.34,0,0,0,1,0,0,0,0,0
"Blue",0,174.16983325635,0,0,0,0,0,0,0,0,0
"Red",0,185.42,10,1,1,1,0,2,0,0,0
"Red",1,187.96,2,0,0,0,0,0,0,0,0
"Red",0,190.5,0,0,1,0,0,0,0,0,0
"Red",0,182.88,0,0,0,0,0,0,0,0,0
"Blue",0,175.26,0,0,0,1,0,0,0,0,0
"Blue",0,177.8,1,1,0,0,0,0,0,0,0
"Red",2,195.58,1,0,1,1,0,2,0,0,0
"Blue",5,185.42,7,0,0,1,0,5,0,0,0
"Red",1,203.2,6,0,1,0,0,3,0,0,0
"Blue",1,162.56,0,0,0,0,0,0,1,0,0
"Red",0,180.34,3,1,0,0,0,0,0,0,0
"Blue",0,175.26,4,0,1,0,0,0,0,1,0
"Blue",1,185.42,6,0,0,0,0,2,0,0,0
